"Item1","Item2","Item3","Item4","Item5","Item6","Item7","Item8","Item9","Item10","Item11","Item12","Item13","Item14","Item15","Item16","Item17","Item18","Item19","Item20","Item21","Item22","Item23","Item24","Item25","Item26","Item27","Item28","Item29","Item30","Item31","Item32","Item33","Item34","Item35","Item36","Item37","Item38","Item39","Item40","Item41","Item42","Item43","Item44","Item45","Item46","Item47","Item48","Item49","Item50","Item51","Item52","Item53","Item54","Item55","Item56","Item57","Item58","Item59","Item60","Item61","Item62","Item63","Item64","Item65","Item66","Item67","Item68","Item69","Item70","Item71","Item72","Item73","Item74","Item75","Item76","Item77","Item78","Item79","Item80"
1,3,2,3,1,1,3,3,1,1,3,1,2,4,3,3,4,3,4,4,4,4,1,5,5,5,5,3,2,4,4,1,2,2,1,4,3,3,1,1,3,1,3,1,2,3,4,2,2,1,2,4,4,4,3,1,4,4,2,4,1,4,2,5,5,5,5,3,1,2,3,3,1,4,2,4,3,3,2,3
2,1,2,4,3,3,2,4,1,4,4,1,1,4,1,1,2,2,4,4,2,2,3,3,5,3,5,3,3,1,1,1,1,4,3,4,3,4,4,2,1,4,1,2,3,3,1,4,2,3,4,2,2,4,4,3,2,1,3,2,3,4,3,1,3,2,5,4,1,1,3,2,4,2,1,4,2,3,2,2
4,3,3,1,2,2,4,3,2,1,3,2,1,4,3,1,2,1,3,4,2,3,3,3,1,5,4,3,2,1,3,2,2,2,1,4,2,4,3,1,3,1,2,2,4,3,1,4,2,3,4,1,2,1,4,3,3,2,3,4,1,2,5,1,3,5,1,3,1,2,3,2,3,4,4,2,4,2,3,1
1,1,1,2,1,1,1,1,1,1,2,1,3,4,1,4,4,2,4,4,4,3,1,4,5,3,5,3,3,4,1,1,2,2,2,2,2,2,2,1,1,1,1,4,2,2,4,2,2,1,4,4,1,4,4,4,1,4,4,4,3,2,5,4,3,2,5,4,4,4,3,2,2,1,3,4,2,3,1,4
2,1,3,2,3,1,2,1,1,4,1,2,1,3,3,4,2,2,4,3,2,1,3,3,5,3,4,3,3,1,3,2,2,2,1,1,3,4,4,4,1,4,1,2,4,2,1,4,1,3,4,2,2,3,4,3,3,1,3,2,3,4,5,5,3,2,3,4,1,4,1,3,2,2,4,4,3,3,4,3
3,4,2,3,1,4,2,3,1,2,3,2,1,3,3,2,1,2,2,1,3,2,4,3,1,4,3,2,1,3,4,3,4,2,3,1,4,3,2,3,1,3,2,1,2,4,1,3,2,4,1,3,4,2,2,3,2,1,3,1,2,4,2,4,3,1,9,2,3,2,4,3,1,1,3,2,2,2,3,4
1,1,3,1,3,4,3,2,3,1,1,3,3,3,1,3,2,2,1,4,2,1,3,5,3,3,5,5,3,4,2,3,4,1,2,2,3,4,3,2,1,3,2,3,2,3,1,4,2,1,4,4,2,2,3,4,3,1,3,1,2,1,5,5,2,5,3,4,4,1,4,2,1,2,2,2,3,3,2,1
1,2,3,1,3,1,2,2,4,1,1,2,4,3,1,1,3,2,1,4,4,2,1,3,4,5,4,5,1,3,4,2,4,2,1,3,2,4,3,1,4,1,1,2,3,4,3,2,3,1,3,1,4,3,4,2,3,2,4,1,2,3,4,1,5,4,1,2,4,1,3,2,2,3,2,4,2,3,4,3
2,2,4,3,1,3,2,4,4,1,3,4,3,4,1,3,1,1,2,3,4,2,4,3,1,4,2,1,4,2,4,2,3,4,4,3,2,3,1,3,1,1,4,3,2,1,4,2,3,1,4,1,2,4,4,3,3,2,4,2,3,4,3,5,1,2,4,3,4,3,3,3,2,1,4,2,4,2,1,2
1,4,4,2,3,3,3,1,1,4,4,3,1,4,2,4,3,2,4,4,2,1,3,5,3,3,4,2,3,1,2,2,1,2,1,2,3,4,4,3,1,4,1,2,2,3,1,4,1,1,4,1,2,3,4,3,3,1,3,2,3,3,5,3,3,5,3,1,1,3,3,2,3,1,1,4,1,2,2,3
1,4,3,2,4,3,2,1,1,3,4,2,1,4,4,3,3,2,1,4,4,3,3,5,5,3,2,3,1,4,3,2,3,4,1,3,3,4,3,3,2,3,1,2,4,3,4,2,1,1,4,1,2,3,4,3,2,2,4,1,4,2,5,1,5,2,5,3,1,4,4,3,1,4,2,1,4,2,3,3
2,1,4,2,3,1,4,1,2,4,4,1,1,4,3,1,2,2,1,4,2,2,3,5,5,5,4,5,3,2,1,2,3,2,2,4,3,4,2,4,3,2,1,2,2,2,4,4,3,3,4,3,2,3,4,3,2,3,3,2,4,1,5,5,1,2,5,1,1,4,3,3,1,1,2,4,1,3,2,2
2,4,3,1,2,2,3,4,1,4,4,2,2,4,3,1,1,2,2,3,2,1,3,3,5,5,1,3,1,2,2,3,1,2,4,1,3,4,1,1,1,1,1,3,1,2,3,2,2,1,2,1,1,3,4,3,4,1,3,4,3,3,2,1,3,5,5,4,4,3,2,2,3,1,1,4,8,3,3,3
2,1,3,2,3,2,2,1,1,4,3,4,1,4,4,2,2,2,4,4,4,1,3,5,5,3,4,3,3,4,3,3,2,3,2,1,2,3,4,3,1,4,1,2,2,3,1,4,2,3,4,3,2,3,4,3,3,4,3,2,3,4,5,1,3,2,3,2,4,4,2,3,3,4,3,4,2,3,3,2
2,1,2,2,3,2,4,1,2,4,3,1,1,4,3,4,1,2,4,4,2,2,2,5,5,3,4,2,1,3,2,2,4,1,1,3,2,2,3,3,4,4,1,2,2,3,3,3,2,1,4,3,1,3,4,3,1,1,4,2,4,4,5,1,3,2,3,3,4,2,1,2,3,4,4,1,2,2,4,3
2,1,2,2,3,2,3,1,1,4,4,2,1,4,3,2,2,2,4,4,2,1,3,3,5,3,1,3,3,1,3,2,2,2,1,2,2,4,2,3,1,4,1,2,2,3,3,4,1,3,4,3,2,3,4,3,4,1,2,4,3,3,5,3,1,5,4,2,4,2,2,1,4,1,4,4,1,3,2,3
2,4,3,3,3,2,3,4,2,3,4,3,2,3,1,4,2,3,2,3,4,1,3,3,4,3,4,2,2,2,3,2,1,2,1,2,3,4,4,8,1,1,3,3,4,4,4,2,3,1,2,1,1,4,3,4,3,1,4,3,1,4,3,3,3,3,5,4,1,4,4,2,3,1,1,2,1,2,3,2
2,1,3,2,3,1,2,1,1,4,3,3,2,3,3,4,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,4,1,2,3,4,1,4,1,3,4,2,2,3,4,3,3,1,4,2,3,3,5,1,3,2,5,1,1,4,1,2,4,3,8,2,4,3,4,2
2,1,3,2,3,1,2,1,1,4,2,2,2,3,4,3,2,1,1,4,4,4,3,5,4,3,2,2,3,1,2,4,2,4,2,2,2,4,1,4,1,4,1,2,2,3,4,4,2,3,4,1,2,2,4,3,2,1,3,1,3,1,5,3,3,2,3,1,1,2,3,1,3,1,1,4,2,3,3,2
2,1,3,2,3,3,2,1,2,4,4,3,1,4,3,2,2,2,4,4,2,1,3,3,1,3,4,2,3,2,3,2,1,4,1,2,4,1,4,2,1,4,1,3,2,3,1,4,4,3,4,2,2,3,1,3,3,1,3,2,3,3,5,3,1,2,3,1,1,4,1,1,3,1,2,4,1,1,4,2
2,4,2,2,1,2,2,3,2,4,3,4,3,4,2,4,2,2,4,4,3,3,1,5,2,5,4,3,4,3,2,4,1,3,2,1,3,3,4,1,3,4,1,2,1,4,3,2,2,3,4,2,1,4,3,3,2,1,4,4,3,1,5,4,1,1,4,3,1,1,3,1,3,2,1,3,1,2,3,2
